🎹 Launchkey MIDI Logger with Timestamp & Note Parsing Starting...
✅ MIDI interface claimed. Listening for input...
[1744831305385732 us] Raw: 0F F8 00 00  
[1744831305415753 us] Raw: 0F F8 00 00  
[1744831305415838 us] Raw: 0F F8 00 00  
[1744831305445729 us] Raw: 09 90 49 63  Note On - Note: 0x49 (73), Velocity: 0x63 (99)
[1744831305445843 us] Raw: 0F F8 00 00  
[1744831305475759 us] Raw: 0F F8 00 00  
[1744831305505729 us] Raw: 0F F8 00 00  
[1744831305505844 us] Raw: 0F F8 00 00  
[1744831305535753 us] Raw: 0F F8 00 00  
[1744831305565751 us] Raw: 0F F8 00 00  
[1744831305565836 us] Raw: 0F F8 00 00  
[1744831305595730 us] Raw: 0F F8 00 00  
[1744831305625728 us] Raw: 08 80 49 00  
[1744831305625857 us] Raw: 0F F8 00 00  
[1744831305625857 us] Raw: 0F F8 00 00  
[1744831305655728 us] Raw: 0F F8 00 00  
[1744831305685752 us] Raw: 0F F8 00 00  
[1744831305685851 us] Raw: 0F F8 00 00  
[1744831305715754 us] Raw: 0F F8 00 00  
[1744831305745730 us] Raw: 0F F8 00 00  
[1744831305775729 us] Raw: 0F F8 00 00  
[1744831305775845 us] Raw: 0F F8 00 00  
[1744831305805738 us] Raw: 0F F8 00 00  
[1744831305805847 us] Raw: 09 90 48 5B  Note On - Note: 0x48 (72), Velocity: 0x5B (91)
[1744831305835755 us] Raw: 0F F8 00 00  
[1744831305835839 us] Raw: 0F F8 00 00  
[1744831305865753 us] Raw: 0F F8 00 00  
[1744831305895754 us] Raw: 0F F8 00 00  
[1744831305895846 us] Raw: 0F F8 00 00  
[1744831305925831 us] Raw: 0F F8 00 00  
[1744831305955827 us] Raw: 0F F8 00 00  
[1744831305985824 us] Raw: 0F F8 00 00  
[1744831305986033 us] Raw: 0F F8 00 00  
[1744831306015825 us] Raw: 08 80 48 00  
[1744831306015997 us] Raw: 0F F8 00 00  
[1744831306045763 us] Raw: 0F F8 00 00  
[1744831306045849 us] Raw: 0F F8 00 00  
[1744831306075735 us] Raw: 0F F8 00 
